date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9
2026-01-02,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.017756467894478677,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.038164631159784794
2026-01-05,-0.11932452782849355,-0.04513557293866914,0.10044533366860724,0.005096465101784432,-0.11000237685327648,-0.008580692727668844,0.01040621495306641,0.03678347614581056,0.21253302044843875,0.09087082196053517,-0.0051349071750229815,0.01020408163265306,-0.05156127985286427,-0.07872759941973446,-0.18564804327637438,-0.02792894348294849,0.01020408163265306,-0.06905838686802833,0.01660190737113482,-0.009095634423614005,-0.05268033352553955,-0.08364725002709336,0.11327564706445609,-0.05029381733534114,0.12412696640941114,0.04767066516940516,0.13620994056345723,0.12169860920286052,0.03306416589888621,-0.001251631412027934,0.06253748329113165,0.056493712705970034,-0.09984001481778318,0.23448958729816394,0.00863806366819565,-0.146892824933431,-0.026420587313411348,-0.09684736955345953,-0.10879097024724468,-0.08287677733122176,-0.011626409629520778,-0.05538333806594929,-0.010608535552165543,0.06907476016356556,-0.0041147680754401745,-0.17552402335801992,-0.08557940537116956,0.042924795008083355,0.01020408163265306,-0.046392232491002085,0.019700194638788002,-0.06418598674732018,-0.02659690341036698,-0.1463084645084495,-0.10497975052142491,0.07007096409556958,-0.13993049155633547,0.01020408163265306,0.01020408163265306,0.16049131877704503,-0.00047580659429895776,0.06689224757922126,0.19808628588413008,0.020287665164193783,0.07551771112752466,0.10664023316296449,-0.25417558222963454,-0.008265893639686437,0.015978387691938673,0.02845850122625753,0.06050338314667101,-0.05105449218230628,-0.1250875131942425,0.348123404791512,0.13478626494258078,0.08796259601908603,-0.03288737468648736,-0.051422202273870864,0.04311663692396419,-0.07776816250232006,-0.11587897169541007,0.01020408163265306,0.01020408163265306,0.18955098672231938,-0.04115326755116153,-0.004006577008901587,0.06442887222815885,0.01020408163265306,-0.033584497922360755,0.45628097689986985,0.005885982530149059,-0.013301720972100922,-0.032317352311928844,0.00490941323269839,-0.03642480119275001,0.5581030174650049,-0.023811354336175095,-0.08776391247978713
2026-01-06,-0.014738037515150746,0.009278423929202625,0.01020408163265306,-0.001711653057172238,-0.07625449324500974,0.01020408163265306,0.010779249164551712,0.01020408163265306,0.04649281541339712,0.026167351908124088,-0.02314013197648504,0.01020408163265306,-0.0033241241658209415,0.006285736920891712,-0.16165326394357726,0.01020408163265306,0.007564457693417435,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.011984712599107472,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.042301373665677364,0.01020408163265306,0.01020408163265306,-0.11341639704009096,0.07557539064235264,-0.015594885563427202,-0.0843746030522635,0.01020408163265306,0.01020408163265306,-0.09081251834151846,-0.008404351412190826,0.01020408163265306,0.01020408163265306,0.008813587665488884,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.029948376498674295,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.0744840284097127,0.01020408163265306,-0.03318567497657117,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.0035277795234475873,0.01020408163265306,0.01020408163265306,0.04443202622357214,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.06054689468132389,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.10346846342985076,0.01020408163265306,0.01163190172727165,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.42366784400148483,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.11358207013378935,0.01020408163265306,0.44337028773025683,0.01020408163265306,-0.14497161303887918
2026-01-07,-0.20493389020563924,-0.05509419034173142,0.11639241709622532,0.06411608233357756,-0.17322117150210112,0.0069406673349598855,-0.09481485157960493,0.13672371820379836,0.1748295272077487,0.15995091628039199,0.02153986707329728,0.03171149500170302,-0.05166585791125985,-0.13317441862174711,-0.14921716392914003,0.047684500915419564,0.08575691426651237,-0.16750730218963478,-0.0033738607671479227,-0.07427451199412079,-0.1687025155128505,-0.10437161370745084,0.10833816879943982,-0.13397230929054588,0.184020414630828,0.09884762761650703,0.15111986380343848,0.11445577163640042,0.08093179485621373,-0.02406196140621846,0.06499582586910485,0.026182645677486127,0.01686657630729158,0.26656257166483893,0.11391301750601196,-0.027205136709791994,0.12729152804024285,-0.13353781121626684,-0.04704111291277969,-0.15320733430170172,-0.0817473358216775,0.15089948829247082,0.021278938342005078,0.09484900080650459,-0.19989636040320813,-0.165929517214315,-0.08536141991829545,-0.08962658829794057,-0.03761289294360343,-0.013425252187006046,0.01754493191998718,-0.11466224149083883,-0.11204505415577799,-0.3087805239665702,-0.3278658818365926,0.10570367248572964,-0.0171523868803388,0.1221503777910692,0.01020408163265306,0.34621613135984525,0.08171836583974557,0.13794238729778063,0.29602943349446875,0.05802969987361046,-0.052964390042727405,0.2572773534236922,-0.4320111061187008,0.1222968428316273,0.01191957514406264,0.04124922780842636,0.15085339352899868,-0.1932840089732257,-0.2540640214737772,0.20254220528023975,0.3181177939111342,0.18860893220146807,-0.11263279064673412,-0.054692099444689835,0.024839195414669696,-0.2618925150946791,-0.4939200345551592,0.01020408163265306,0.09265503986862728,0.3187096220717233,-0.05585664946939688,0.10152496563836805,0.15257969478584388,-0.06307826682157304,-0.15202374812037245,0.7848702907233737,-0.17856717395607974,0.19513978473316074,-0.2366745896384063,0.10697428557855614,-0.0254912690779942,0.458265586199647,-0.051550827611145114,-0.10818033177302085
2026-01-08,-0.21451444706000602,-0.05828322574248225,0.1126580475817237,0.07028043000338104,-0.18157557140429362,0.008555790645388394,-0.11002438786295882,0.1436850164679773,0.19623665118631908,0.1644960035945258,0.014811121012963814,0.029815391547255328,-0.05178536416849273,-0.13338529310373187,-0.13272100557500205,0.06821441754984472,0.10122242999277005,-0.22491817683614918,-0.0029659473345449838,-0.07878434303004153,-0.17849586258988867,-0.11686340420289563,0.1090784062679623,-0.1487025429773176,0.20891833973188112,0.09637723983619347,0.15478091418618067,0.13064148464249042,0.10491756031713932,-0.02529892530699407,0.06882537639040386,0.03332211644359617,0.03460150691463398,0.24429651133611827,0.11459404979955726,-0.02605419211613766,0.1348847363986005,-0.147358267137923,-0.02914434354034131,-0.1725237503574306,-0.06804360101461447,0.1560361222954783,0.009472117188622226,0.08828975452357635,-0.1972460894931142,-0.1515529447115904,-0.0971777669562477,-0.09594519989720662,-0.019973932000244395,-0.02220571292503306,0.01846173881745719,-0.1030078564182693,-0.13530910939043284,-0.3274194380072595,-0.35886505673174107,0.12270105801834631,-0.012037568493066036,0.12079241167995879,0.002769479374275634,0.39697583373121137,0.09170015340166665,0.14816528955871394,0.26944154276290255,0.04639404113656168,-0.033212337530499805,0.24982805445716794,-0.4324269708131423,0.14823746984730105,-0.007251999900592368,0.02692284430454335,0.17431644088028686,-0.18434222945757825,-0.25296093810972137,0.23076788766948073,0.3434310306908679,0.20716759282762576,-0.12625249344226885,-0.0991507229226961,0.004482669047072356,-0.2813006989032007,-0.5514925345374504,0.0030358086803456375,0.09172170136368234,0.3129494130598925,-0.08587198292877024,0.09703722046203553,0.20177468318923497,-0.0591674092604607,-0.1607088161028183,0.799759648378837,-0.1839424373487053,0.21189949814992082,-0.22050669467917516,0.10557805209714187,-0.03495130660167062,0.48498170594297985,-0.05832448036054147,-0.11625742609935026
2026-01-09,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,-0.03282302070524704,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.05323118397055316
2026-01-12,-0.17657051612199648,-0.06749247490277689,0.06030424645028412,0.07005022441173603,-0.16748504672273243,0.03404920152124007,-0.042816996007728265,0.1264926523948939,0.2199558562197556,0.10333401048235588,0.0058773510894962215,-0.021722302367436434,-0.041926905483420665,-0.12227073776400486,-0.09825621145630033,0.10345460990363718,0.02930083617150224,-0.24511290879022657,0.07841737292960653,-0.048505785219898144,-0.14110129380312875,-0.08640519295416017,0.11344197896389098,-0.0795034156624776,0.2062207982662783,0.07459635277010293,0.13430843279510232,0.1179795932674101,0.1382157600596988,0.01020408163265306,0.059259377274731316,0.03707331452207137,-0.0478736067983738,0.19458612439585982,0.08286440824615926,-0.043589328272348564,0.08104021890984009,-0.17423100020066398,-0.12219622653050578,-0.14357614431152976,0.004783756699097149,0.052661684380979394,-0.010519923549787374,0.034904384685870725,-0.14583268176452693,-0.18506495565529424,-0.1354437184765869,-0.0009596936866239063,-0.00531662430781886,-0.03575478231722545,0.06471856155793915,-0.06200300526350003,-0.1100500945492291,-0.30343834080608156,-0.2251713890074059,0.01926006735641924,-0.04307266627282813,0.07066134650383245,0.01020408163265306,0.3497626836651925,0.10618496598649378,0.12983926633475693,0.23692337483311188,-0.058981501797120514,0.007381560962385318,0.25909285626645523,-0.37614281793983717,0.08316278302310824,0.02506082325738864,0.028628316251566685,0.1661811887174661,-0.1324362383877485,-0.21342808345731637,0.14759818491118135,0.27925940683827766,0.270919412765546,-0.06938648215094052,-0.01469834096900125,0.007185163934663722,-0.19665365624940692,-0.3976837872917652,0.07259375766116913,0.17154741020569023,0.22257808894276288,-0.024928902180279114,0.018159338299028993,0.10624321187542583,-0.08825393344887306,-0.07269735826472203,0.6570606746782706,-0.08021701805200945,-0.01066864543878107,-0.19661569896942718,0.0594889866632092,-0.02825112369986337,0.5364897662385013,-0.0683177439360969,-0.11693660654694309
2026-01-13,-0.14031681883102873,-0.05755466660017104,0.058317847294039035,0.033767570286067326,-0.1383892198944922,0.01020408163265306,0.01020408163265306,0.10012574781199347,0.2204826112795556,0.08210237877111048,0.003736303937540237,-0.014301060997607072,-0.0411766071754344,-0.09294717987146016,-0.10099849400229342,0.05279513907339411,-0.007310279195248565,-0.12747746939736224,0.034019399433083145,0.01020408163265306,-0.09025281647647833,-0.06526107526172015,0.09751349456322209,-0.026203424799630677,0.13362619930988082,0.06336940333608633,0.1293700522583868,0.10521897477600305,0.028439838442381633,0.01020408163265306,0.03912709920975136,0.05419312772821851,-0.09102193688047795,0.1914424734217675,0.019706780042601537,-0.06944879590576634,0.01020408163265306,-0.12329582743395419,-0.1261190159426874,-0.10922158048355697,0.01020408163265306,0.01020408163265306,-0.019138448044294494,0.011061940991359771,-0.0788452531434293,-0.1287004997026465,-0.11631619600417874,0.01020408163265306,0.003127923032064525,-0.02590383106325693,0.04688481682720488,-0.0649485640554545,-0.0547428928975036,-0.20974318443919712,-0.10850195933372252,0.01020408163265306,-0.09476583906049152,0.04969528278983684,0.01020408163265306,0.21814341194544787,0.03887127811254337,0.10784169485868624,0.2053642312687338,-0.04717912007515525,0.01020408163265306,0.17503601583758954,-0.27390737843161156,0.01020408163265306,0.0528855390631062,0.032693098221971244,0.09497310891890592,-0.08110585013012536,-0.1416410932244135,0.08646949013347666,0.1901612320869216,0.19481278825053297,-0.028250453208734677,0.01020408163265306,0.01979881762617234,-0.10302108420084795,-0.16409490749920674,0.041393232244063036,0.1243969953218603,0.1584217025944765,0.01020408163265306,0.01020408163265306,0.04214011007273194,-0.010865011160151606,-0.03980070539341326,0.5443310930709531,0.01020408163265306,-0.07176874229897248,-0.14734826231251513,0.04987893504395185,-0.017651826355984057,0.5153481261119441,-0.05617347318423038,-0.10863976715315951
2026-01-14,-0.1575111043735536,-0.08979109030099612,0.045628192461111806,0.05921674582566793,-0.18126115144020466,0.03002553938091359,-0.022187775674071986,0.1277657154546851,0.25232529237976153,0.11286335068539818,-0.0002429782304545578,-0.010067326486611747,-0.03927318272433225,-0.13762607224940732,-0.10093356252343354,0.13447234964608892,0.02885848848420064,-0.2801215255126908,0.1508009734613419,-0.00204902986679871,-0.10957022735544038,-0.11847307176035766,0.08317456343241916,-0.08097278945403587,0.24828950172724254,0.07425446356719027,0.10775454677185307,0.1560098387816398,0.13749949553332164,0.004279789210530581,0.08307486474984442,0.013806287879200534,-0.03278081295874236,0.17667149705021315,0.03104629064068567,-0.057913049586205245,0.07713533882681285,-0.2095773218798605,-0.17946556655293616,-0.13649540403856944,-0.008737198642321807,0.019262420435674783,-0.027638670532122843,0.01020408163265306,-0.06794739891746955,-0.20804462314984276,-0.14266790399365073,0.01020408163265306,0.03763209443310609,-0.053052071705138606,0.06564557329903703,-0.04962883935695927,-0.11622800460515557,-0.3173316530669397,-0.22199219563864325,0.011415337945068355,-0.0368225434234056,0.0871790202217076,-0.06402388224178267,0.32657286739739155,0.11518633147377645,0.13765317800800517,0.23856543906240887,-0.055350487537368154,0.01020408163265306,0.27667923837810776,-0.25984505196310714,0.08133809256099532,0.0324022281168051,0.015185185781026431,0.19125325440606405,-0.11614787699619776,-0.1737974273290968,0.13297449828011695,0.3134723860161263,0.2572085968331661,-0.04945656402578445,-0.04875289508477114,-0.003796895153701395,-0.1863075648885172,-0.421879955938786,0.0453844468136979,0.13848869085377094,0.2059832745258252,-0.1257454406485089,0.026743512079105358,0.11693316423019244,-0.03216470054067498,-0.07308507082448223,0.6484635990690227,-0.08386578553719291,-0.009620374071658963,-0.14937530366039117,0.055797042988909654,-0.06836220496317195,0.5344953536623951,-0.03497853863390178,-0.12452003168013727
2026-01-15,-0.18550951831259524,-0.09549055664660089,0.05067679116065017,0.08033950961289163,-0.18729919615343638,0.046476533631837236,-0.02341709072064812,0.12916673697722333,0.2891826170477017,0.10880213620366713,-0.0043660212879730285,-0.007736206548932008,-0.03539890363916182,-0.15508171002961055,-0.12442590891433476,0.16992336998156593,0.01632232937915762,-0.328868826857138,0.17828549467125773,-0.03234071561538464,-0.09715243601833934,-0.12442711853648038,0.07562803164353493,-0.10775512482950984,0.2569344118488662,0.06739099040092171,0.12065150681305929,0.15903745037309608,0.19009170743834633,0.007960168931382376,0.10096662546321335,-0.02359846181583239,-0.016389145903775937,0.17055075720880727,0.029656084629058513,-0.036196270605770756,0.09593968286402713,-0.21681516713290208,-0.16617589724599696,-0.14768173507183932,-0.026122310138327248,0.04908802889124597,-0.031253508346987285,0.06774594376267618,-0.1374540951466648,-0.19611404496691096,-0.14780746309908066,-0.016537151355624037,0.08368766669203613,-0.03885852413743123,0.07221219766155725,-0.07071205451369712,-0.10646811073483033,-0.33240673149586447,-0.255364415289342,0.0016988543207443196,-0.04900225475618575,0.0623212768301001,-0.07933807643566364,0.3194998975234218,0.12522170093881832,0.14407744181521606,0.24322661675113474,-0.04408637832875406,0.011121738375244307,0.3058701657174295,-0.28426994766614055,0.13977233948846898,0.030842578172052902,0.006651718700812326,0.23471788573459332,-0.1830100614677937,-0.14626024092613601,0.12002424270935892,0.3526496389666763,0.2964695442140499,-0.015209892468353364,-0.06563553346585531,-0.03156464503415386,-0.2044392667511672,-0.47234153003901047,0.009823332623101371,0.11941113331777618,0.22351901328557786,-0.12198726676909623,0.05349148046155168,0.09712063136268878,-0.046382748367640995,-0.10748798781573604,0.6356152569568013,-0.0688842566784253,0.015958656744244508,-0.11870792868200823,0.0748447692583681,-0.05233941466442063,0.5384028525679192,-0.06523899421029447,-0.14765869448607316
